epoch,accuracy,loss,val_accuracy,val_loss
0,0.9939374923706055,0.024349957704544067,0.9994166493415833,0.012387961149215698
1,0.9985625147819519,0.010563614778220654,0.999833345413208,0.002746380167081952
2,0.9988124966621399,0.00870329700410366,0.999916672706604,0.0016953818267211318
3,0.9992499947547913,0.004297874867916107,0.7914166450500488,5.751234531402588
4,0.9992083311080933,0.007108590565621853,0.46974998712539673,33.9137077331543
5,0.9994375109672546,0.004589121323078871,0.999916672706604,0.0008924397407099605
6,0.9993958473205566,0.0036340253427624702,0.999916672706604,0.0013871944975107908
7,0.999916672706604,0.001837048213928938,0.999916672706604,0.0007236219826154411
8,0.9994791746139526,0.004500908311456442,0.999916672706604,0.0009187244577333331
9,0.9996458292007446,0.0028267332818359137,0.999916672706604,0.0008542105206288397
10,0.9997708201408386,0.0016600240487605333,0.999916672706604,0.0008753622532822192
11,0.99979168176651,0.0009085644851438701,0.999916672706604,0.001253903959877789
12,0.9998958110809326,0.0014113456709310412,0.999916672706604,0.000821461493615061
13,0.9997708201408386,0.0014164253370836377,0.999916672706604,0.0025555198080837727
14,0.9995625019073486,0.003636921988800168,0.7830833196640015,10.422921180725098
15,0.9995833039283752,0.0035126362927258015,0.999916672706604,0.0008152473601512611
16,0.999875009059906,0.0008819738286547363,0.999916672706604,0.0010616097133606672
17,0.999875009059906,0.0011324179358780384,0.999916672706604,0.0007982393144629896
0,0.9944583177566528,0.024543622508645058,0.999916672706604,0.0017120178090408444
1,0.9984166622161865,0.008613783866167068,0.999916672706604,0.0017443974502384663
2,0.9983958601951599,0.01033281534910202,0.999666690826416,0.0028885870706290007
3,0.9993749856948853,0.004677759949117899,0.999916672706604,0.0018452424556016922
4,0.9988958239555359,0.008292908780276775,0.9990000128746033,0.007367637474089861
5,0.9994999766349792,0.002995195332914591,0.999916672706604,0.0007948906277306378
6,0.9993749856948853,0.004047081805765629,0.9994999766349792,0.009708994999527931
7,0.9994166493415833,0.005306184757500887,0.8024166822433472,2.7827401161193848
8,0.9997291564941406,0.0027096800040453672,0.999916672706604,0.0015198728069663048
9,0.9997291564941406,0.002748690079897642,0.999916672706604,0.0020306017249822617
10,0.999625027179718,0.0037715043872594833,0.999916672706604,0.0012671092990785837
11,0.999875009059906,0.0012158958707004786,0.999916672706604,0.000841836619656533
12,0.999916672706604,0.0005603189929388463,0.999916672706604,0.0010401695035398006
13,0.999875009059906,0.0014872121391817927,0.999833345413208,0.0011491335462778807
14,0.9992499947547913,0.006245385389775038,0.999916672706604,0.0010833349078893661
15,0.9998958110809326,0.0011490919860079885,0.999916672706604,0.0009332043118774891
